epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,11065.6,0.46898,0.24512,0.88369,0.99659,0.98452,0.99472,0.91813,0.43651,0.20773,0.83553,0.0002278,0.0002278,0.0002278
80,11200.6,0.46843,0.24176,0.87757,1,0.98449,0.99476,0.91286,0.43969,0.20864,0.8357,0.0002179,0.0002179,0.0002179
81,11335.6,0.46248,0.24084,0.87534,0.99687,0.98725,0.99491,0.91827,0.44504,0.21034,0.83931,0.000208,0.000208,0.000208
82,11474.1,0.45498,0.23665,0.88359,0.99687,0.98656,0.99491,0.91531,0.44262,0.2079,0.83812,0.0001981,0.0001981,0.0001981
83,11612.5,0.45168,0.23571,0.87665,0.99895,0.98452,0.99488,0.92096,0.44195,0.2124,0.83845,0.0001882,0.0001882,0.0001882
84,11750.2,0.4458,0.23334,0.87934,0.99651,0.98762,0.99384,0.91691,0.44263,0.21274,0.83814,0.0001783,0.0001783,0.0001783
85,11888.5,0.45185,0.23401,0.87705,0.99988,0.98762,0.99464,0.91827,0.44776,0.21342,0.84001,0.0001684,0.0001684,0.0001684
86,12029.6,0.44509,0.23033,0.8684,1,0.98742,0.99476,0.92413,0.4447,0.20623,0.83795,0.0001585,0.0001585,0.0001585
87,12175.9,0.44716,0.22967,0.87334,0.99925,0.98762,0.99491,0.92103,0.44051,0.2007,0.83687,0.0001486,0.0001486,0.0001486
88,12315.1,0.43319,0.22569,0.86498,1,0.98712,0.99491,0.91958,0.44084,0.2027,0.83512,0.0001387,0.0001387,0.0001387
89,12453.4,0.43637,0.22204,0.8653,0.99379,0.9905,0.99494,0.92108,0.44209,0.20158,0.83472,0.0001288,0.0001288,0.0001288
90,12591.4,0.42851,0.2218,0.86457,0.99811,0.98762,0.99485,0.91869,0.44175,0.20562,0.83277,0.0001189,0.0001189,0.0001189
91,12724.6,0.39993,0.19032,0.84153,0.99916,0.98762,0.99479,0.91848,0.43957,0.20186,0.83366,0.000109,0.000109,0.000109
92,12857.5,0.39212,0.18368,0.83992,0.99684,0.98762,0.99479,0.92001,0.43981,0.19719,0.83934,9.91e-05,9.91e-05,9.91e-05
93,12990.1,0.38876,0.18299,0.83545,0.99884,0.98762,0.99488,0.91828,0.44407,0.19683,0.83523,8.92e-05,8.92e-05,8.92e-05
94,13122.7,0.3836,0.18045,0.83194,0.99645,0.98762,0.99491,0.91953,0.44278,0.19623,0.8349,7.93e-05,7.93e-05,7.93e-05
95,13252.6,0.38199,0.17997,0.83152,0.99637,0.98762,0.99488,0.92378,0.44214,0.19424,0.83322,6.94e-05,6.94e-05,6.94e-05
96,13382.9,0.37708,0.17617,0.82999,0.99657,0.98762,0.99488,0.92176,0.44228,0.19273,0.83332,5.95e-05,5.95e-05,5.95e-05
97,13513.5,0.37582,0.17711,0.82797,0.99676,0.98762,0.99491,0.91829,0.44522,0.19413,0.83228,4.96e-05,4.96e-05,4.96e-05
98,13647.7,0.37719,0.17644,0.82807,0.99671,0.98762,0.99494,0.9199,0.44583,0.18944,0.83357,3.97e-05,3.97e-05,3.97e-05
99,13781.3,0.36928,0.17345,0.83105,0.99671,0.98762,0.99494,0.91927,0.44721,0.19044,0.83412,2.98e-05,2.98e-05,2.98e-05
100,13913.9,0.36741,0.17287,0.82859,0.99672,0.98762,0.99491,0.91964,0.44535,0.19281,0.83294,1.99e-05,1.99e-05,1.99e-05
